序列(Payload),序列位置,序列长度,来源reads编号及方向,Witness值,Witness阈值
null,554,8122,+1;,271,390
null,554,8124,+1;,275,390
null,555,8123,+1;,277,390
null,555,8122,+1;,273,390
null,555,8124,+1;,272,390
null,556,8123,+1;,271,390
null,556,8122,+1;,275,390
null,556,8124,+1;,274,390
null,557,8123,+1;,268,390
null,557,8122,+1;,264,390
null,557,8124,+1;,267,390
null,558,8123,+1;,273,390
null,558,8122,+1;,274,390
null,558,8124,+1;,272,390
null,559,8123,+1;,272,390
null,559,8122,+1;,273,390
null,559,8124,+1;,266,390
null,560,8123,+1;,269,390
null,560,8122,+1;,275,390
null,560,8124,+1;,266,390
null,561,8123,+1;,271,390
null,561,8122,+1;,275,390
null,561,8124,+1;,269,390
null,562,8123,+1;,274,390
null,562,8122,+1;,275,390
null,562,8124,+1;,271,390
null,563,8123,+1;,265,390
null,563,8122,+1;,268,390
null,563,8124,+1;,266,390
null,564,8123,+1;,264,390
null,564,8122,+1;,263,390
null,564,8124,+1;,257,390
null,565,8123,+1;,258,390
null,565,8122,+1;,264,390
null,565,8124,+1;,253,390
null,566,8123,+1;,248,390
null,566,8122,+1;,253,390
null,566,8124,+1;,250,390
null,567,8123,+1;,257,390
null,567,8122,+1;,253,390
null,567,8124,+1;,258,390
null,568,8123,+1;,253,390
null,568,8122,+1;,251,390
null,568,8124,+1;,256,390
null,569,8123,+1;,254,390
null,569,8122,+1;,252,390
null,569,8124,+1;,254,390
null,570,8123,+1;,255,390
null,570,8122,+1;,257,390
null,570,8124,+1;,250,390
null,571,8123,+1;,252,390
null,571,8122,+1;,257,390
null,571,8124,+1;,247,390
null,572,8123,+1;,248,390
null,572,8122,+1;,254,390
null,572,8124,+1;,254,390
null,573,8123,+1;,253,390
null,573,8122,+1;,247,390
null,573,8124,+1;,254,390
null,574,8123,+1;,252,390
null,574,8122,+1;,251,390
null,574,8124,+1;,253,390
null,575,8123,+1;,254,390
null,575,8122,+1;,254,390
null,575,8124,+1;,253,390
null,576,8123,+1;,249,390
null,576,8122,+1;,251,390
null,576,8124,+1;,248,390
null,577,8123,+1;,244,390
null,577,8122,+1;,245,390
null,577,8124,+1;,255,390
null,578,8123,+1;,257,390
null,578,8122,+1;,247,390
null,578,8124,+1;,256,390
null,579,8123,+1;,258,390
null,579,8122,+1;,259,390
null,579,8124,+1;,257,390
null,580,8123,+1;,256,390
null,580,8122,+1;,259,390
null,580,8124,+1;,259,390
null,581,8123,+1;,263,390
null,581,8122,+1;,260,390
null,581,8124,+1;,258,390
null,582,8123,+1;,254,390
null,582,8122,+1;,259,390
null,582,8124,+1;,257,390
null,583,8123,+1;,259,390
null,583,8122,+1;,256,390
null,583,8124,+1;,262,390
null,584,8123,+1;,262,390
null,584,8122,+1;,261,390
null,584,8124,+1;,266,390
null,585,8123,+1;,264,390
null,585,8122,+1;,260,390
null,585,8124,+1;,265,390
null,586,8123,+1;,261,390
null,586,8122,+1;,260,390
null,586,8124,+1;,259,390
null,587,8123,+1;,264,390
null,587,8122,+1;,266,390
null,587,8124,+1;,265,390
null,588,8123,+1;,263,390
null,588,8122,+1;,262,390
null,588,8124,+1;,263,390
null,589,8123,+1;,268,390
null,589,8122,+1;,268,390
null,589,8124,+1;,270,390
null,590,8123,+1;,268,390
null,590,8122,+1;,266,390
null,590,8124,+1;,268,390
null,591,8123,+1;,265,390
null,591,8122,+1;,265,390
null,591,8124,+1;,265,390
null,592,8123,+1;,264,390
null,592,8122,+1;,264,390
null,592,8124,+1;,264,390
null,593,8123,+1;,257,390
null,593,8122,+1;,257,390
null,593,8124,+1;,253,390
null,594,8123,+1;,252,390
null,594,8122,+1;,255,390
null,594,8124,+1;,256,390
null,595,8123,+1;,259,390
null,595,8122,+1;,255,390
null,595,8124,+1;,261,390
null,596,8123,+1;,263,390
null,596,8122,+1;,261,390
null,596,8124,+1;,268,390
null,597,8123,+1;,269,390
null,597,8122,+1;,264,390
null,597,8124,+1;,267,390
null,598,8123,+1;,270,390
null,598,8122,+1;,272,390
null,598,8124,+1;,272,390
null,599,8123,+1;,276,390
null,599,8122,+1;,272,390
null,599,8124,+1;,273,390
null,600,8123,+1;,276,390
null,600,8122,+1;,277,390
null,600,8124,+1;,276,390
null,601,8123,+1;,279,390
null,601,8122,+1;,279,390
null,601,8124,+1;,281,390
null,602,8123,+1;,278,390
null,602,8122,+1;,276,390
null,602,8124,+1;,273,390
null,603,8123,+1;,274,390
null,603,8122,+1;,279,390
null,603,8124,+1;,271,390
null,604,8123,+1;,273,390
null,604,8122,+1;,276,390
null,604,8124,+1;,269,390
null,605,8123,+1;,260,390
null,605,8122,+1;,264,390
null,605,8124,+1;,264,390
null,606,8123,+1;,266,390
null,606,8122,+1;,261,390
null,606,8124,+1;,268,390
null,607,8123,+1;,272,390
null,607,8122,+1;,270,390
null,607,8124,+1;,269,390
null,608,8123,+1;,267,390
null,608,8122,+1;,269,390
null,608,8124,+1;,263,390
null,609,8123,+1;,266,390
null,609,8122,+1;,270,390
null,609,8124,+1;,262,390
null,610,8123,+1;,264,390
null,610,8122,+1;,267,390
null,610,8124,+1;,262,390
null,611,8123,+1;,265,390
null,611,8122,+1;,267,390
null,611,8124,+1;,262,390
null,612,8123,+1;,264,390
null,612,8122,+1;,267,390
null,612,8124,+1;,260,390
null,613,8123,+1;,257,390
null,613,8122,+1;,262,390
null,613,8124,+1;,258,390
null,614,8123,+1;,261,390
null,614,8122,+1;,258,390
null,614,8124,+1;,264,390
null,615,8123,+1;,272,390
null,615,8122,+1;,267,390
null,615,8124,+1;,274,390
null,616,8123,+1;,275,390
null,616,8122,+1;,273,390
null,616,8124,+1;,276,390
null,617,8123,+1;,280,390
null,617,8122,+1;,278,390
null,617,8124,+1;,282,390
null,618,8123,+1;,285,390
null,618,8122,+1;,284,390
null,618,8124,+1;,292,390
null,619,8123,+1;,291,390
null,619,8122,+1;,284,390
null,619,8124,+1;,295,390
null,620,8123,+1;,298,390
null,620,8122,+1;,295,390
null,620,8124,+1;,294,390
null,621,8123,+1;,290,390
null,621,8122,+1;,294,390
null,621,8124,+1;,291,390
null,622,8123,+1;,288,390
null,622,8122,+1;,287,390
null,622,8124,+1;,286,390
null,623,8123,+1;,283,390
null,623,8122,+1;,285,390
null,623,8124,+1;,286,390
null,624,8123,+1;,277,390
null,624,8122,+1;,274,390
null,624,8124,+1;,275,390
null,625,8123,+1;,278,390
null,625,8122,+1;,280,390
null,625,8124,+1;,282,390
null,626,8123,+1;,283,390
null,626,8122,+1;,279,390
null,626,8124,+1;,290,390
null,627,8123,+1;,292,390
null,627,8122,+1;,286,390
null,627,8124,+1;,291,390
null,628,8123,+1;,291,390
null,628,8122,+1;,292,390
null,628,8124,+1;,286,390
null,629,8123,+1;,284,390
null,629,8122,+1;,290,390
null,629,8124,+1;,286,390
null,630,8123,+1;,285,390
null,630,8122,+1;,283,390
null,630,8124,+1;,281,390
null,631,8123,+1;,284,390
null,631,8122,+1;,288,390
null,631,8124,+1;,283,390
null,632,8123,+1;,279,390
null,632,8122,+1;,283,390
null,632,8124,+1;,283,390
null,633,8123,+1;,283,390
null,633,8122,+1;,280,390
null,633,8124,+1;,276,390
null,634,8123,+1;,274,390
null,634,8122,+1;,281,390
null,634,8124,+1;,270,390
null,635,8123,+1;,275,390
null,635,8122,+1;,279,390
null,635,8124,+1;,279,390
null,636,8123,+1;,276,390
null,636,8122,+1;,273,390
null,636,8124,+1;,277,390
null,637,8123,+1;,278,390
null,637,8122,+1;,277,390
null,637,8124,+1;,279,390
null,638,8123,+1;,282,390
null,638,8122,+1;,283,390
null,638,8124,+1;,275,390
null,639,8123,+1;,278,390
null,639,8122,+1;,285,390
null,639,8124,+1;,283,390
null,640,8123,+1;,281,390
null,640,8122,+1;,280,390
null,640,8124,+1;,280,390
null,641,8123,+1;,280,390
null,641,8122,+1;,281,390
null,641,8124,+1;,281,390
null,642,8123,+1;,282,390
null,642,8122,+1;,281,390
null,642,8124,+1;,284,390
null,643,8123,+1;,281,390
null,643,8122,+1;,278,390
null,643,8124,+1;,277,390
null,644,8123,+1;,275,390
null,644,8122,+1;,280,390
null,644,8124,+1;,277,390
null,645,8123,+1;,274,390
null,645,8122,+1;,272,390
null,645,8124,+1;,273,390
null,646,8123,+1;,279,390
null,646,8122,+1;,279,390
null,646,8124,+1;,284,390
null,647,8123,+1;,277,390
null,647,8122,+1;,272,390
null,647,8124,+1;,270,390
null,648,8123,+1;,273,390
null,648,8122,+1;,280,390
null,648,8124,+1;,280,390
null,649,8123,+1;,278,390
null,649,8122,+1;,272,390
null,649,8124,+1;,284,390
null,650,8123,+1;,282,390
null,650,8122,+1;,278,390
null,650,8124,+1;,275,390
null,651,8123,+1;,272,390
null,651,8122,+1;,279,390
null,651,8124,+1;,274,390
null,652,8123,+1;,279,390
null,652,8122,+1;,277,390
null,652,8124,+1;,287,390
null,653,8123,+1;,284,390
null,653,8122,+1;,277,390
null,653,8124,+1;,285,390
null,654,8123,+1;,285,390
null,654,8122,+1;,284,390
null,654,8124,+1;,287,390
null,655,8123,+1;,282,390
null,655,8122,+1;,279,390
null,655,8124,+1;,274,390
null,656,8123,+1;,279,390
null,656,8122,+1;,287,390
null,656,8124,+1;,285,390
null,657,8123,+1;,286,390
null,657,8122,+1;,279,390
null,657,8124,+1;,292,390
null,658,8123,+1;,296,390
null,658,8122,+1;,290,390
null,658,8124,+1;,297,390
null,659,8123,+1;,296,390
null,659,8122,+1;,295,390
null,659,8124,+1;,296,390
null,660,8123,+1;,294,390
null,660,8122,+1;,294,390
null,660,8124,+1;,296,390
null,661,8123,+1;,295,390
null,661,8122,+1;,292,390
null,661,8124,+1;,293,390
null,662,8123,+1;,287,390
null,662,8122,+1;,289,390
null,662,8124,+1;,288,390
null,663,8123,+1;,286,390
null,663,8122,+1;,285,390
null,663,8124,+1;,286,390
null,664,8123,+1;,283,390
null,664,8122,+1;,283,390
null,664,8124,+1;,288,390
null,665,8123,+1;,291,390
null,665,8122,+1;,286,390
null,665,8124,+1;,290,390
null,666,8123,+1;,292,390
null,666,8122,+1;,295,390
null,666,8124,+1;,295,390
null,667,8123,+1;,303,390
null,667,8122,+1;,300,390
null,667,8124,+1;,297,390
null,668,8123,+1;,297,390
null,668,8122,+1;,302,390
null,668,8124,+1;,301,390
null,669,8123,+1;,299,390
null,669,8122,+1;,296,390
null,669,8124,+1;,293,390
null,670,8123,+1;,289,390
null,670,8122,+1;,296,390
null,670,8124,+1;,284,390
null,671,8123,+1;,288,390
null,671,8122,+1;,292,390
null,671,8124,+1;,283,390
null,672,8123,+1;,282,390
null,672,8122,+1;,287,390
null,672,8124,+1;,281,390
null,673,8123,+1;,285,390
null,673,8122,+1;,286,390
null,673,8124,+1;,283,390
null,674,8123,+1;,279,390
null,674,8122,+1;,283,390
null,674,8124,+1;,281,390
null,675,8123,+1;,280,390
null,675,8122,+1;,278,390
null,675,8124,+1;,283,390
null,676,8123,+1;,285,390
null,676,8122,+1;,282,390
null,676,8124,+1;,288,390
null,677,8123,+1;,286,390
null,677,8122,+1;,283,390
null,677,8124,+1;,283,390
null,678,8123,+1;,279,390
null,678,8122,+1;,283,390
null,678,8124,+1;,276,390
null,679,8123,+1;,285,390
null,679,8122,+1;,287,390
null,679,8124,+1;,290,390
null,680,8123,+1;,293,390
null,680,8122,+1;,288,390
null,680,8124,+1;,295,390
null,681,8123,+1;,295,390
null,681,8122,+1;,295,390
null,681,8124,+1;,295,390
null,682,8123,+1;,289,390
null,682,8122,+1;,289,390
null,682,8124,+1;,290,390
null,683,8123,+1;,289,390
null,683,8122,+1;,288,390
null,683,8124,+1;,283,390
null,684,8123,+1;,285,390
null,684,8122,+1;,291,390
null,684,8124,+1;,288,390
null,685,8123,+1;,283,390
null,685,8122,+1;,280,390
null,685,8124,+1;,286,390
null,686,8123,+1;,289,390
null,686,8122,+1;,285,390
null,686,8124,+1;,290,390
null,687,8123,+1;,288,390
null,687,8122,+1;,288,390
null,687,8124,+1;,290,390
null,688,8123,+1;,287,390
null,688,8122,+1;,285,390
null,688,8124,+1;,287,390
null,689,8123,+1;,288,390
null,689,8122,+1;,288,390
null,689,8124,+1;,291,390
null,690,8123,+1;,289,390
null,690,8122,+1;,286,390
null,690,8124,+1;,292,390
null,691,8123,+1;,289,390
null,691,8122,+1;,286,390
null,691,8124,+1;,286,390
null,692,8123,+1;,286,390
null,692,8122,+1;,289,390
null,692,8124,+1;,288,390
null,693,8123,+1;,291,390
null,693,8122,+1;,289,390
null,693,8124,+1;,287,390
null,694,8123,+1;,286,390
null,694,8122,+1;,290,390
null,694,8124,+1;,287,390
null,695,8123,+1;,287,390
null,695,8122,+1;,286,390
null,695,8124,+1;,288,390
null,696,8123,+1;,288,390
null,696,8122,+1;,288,390
null,696,8124,+1;,285,390
null,697,8123,+1;,288,390
null,697,8122,+1;,290,390
null,697,8124,+1;,293,390
null,698,8123,+1;,294,390
null,698,8122,+1;,292,390
null,698,8124,+1;,297,390
null,699,8123,+1;,291,390
null,699,8122,+1;,288,390
null,699,8124,+1;,290,390
null,700,8123,+1;,291,390
null,700,8122,+1;,290,390
null,700,8124,+1;,289,390
null,701,8123,+1;,287,390
null,701,8122,+1;,289,390
null,701,8124,+1;,288,390
null,702,8123,+1;,295,390
null,702,8122,+1;,294,390
null,702,8124,+1;,292,390
null,703,8123,+1;,295,390
null,703,8122,+1;,296,390
null,703,8124,+1;,293,390
null,704,8123,+1;,287,390
null,704,8122,+1;,291,390
null,704,8124,+1;,286,390
null,705,8123,+1;,292,390
null,705,8122,+1;,293,390
null,705,8124,+1;,293,390
null,706,8123,+1;,290,390
null,706,8122,+1;,289,390
null,706,8124,+1;,291,390
null,707,8123,+1;,289,390
null,707,8122,+1;,288,390
null,707,8124,+1;,286,390
null,708,8123,+1;,290,390
null,708,8122,+1;,293,390
null,708,8124,+1;,286,390
null,709,8123,+1;,288,390
null,709,8122,+1;,292,390
null,709,8124,+1;,290,390
null,710,8123,+1;,284,390
null,710,8122,+1;,283,390
null,710,8124,+1;,286,390
null,711,8123,+1;,284,390
null,711,8122,+1;,282,390
null,711,8124,+1;,283,390
null,712,8123,+1;,284,390
null,712,8122,+1;,286,390
null,712,8124,+1;,289,390
null,713,8123,+1;,294,390
null,713,8122,+1;,289,390
null,713,8124,+1;,290,390
null,714,8123,+1;,290,390
null,714,8122,+1;,294,390
null,714,8124,+1;,290,390
null,715,8123,+1;,289,390
null,715,8122,+1;,289,390
null,715,8124,+1;,291,390
null,716,8123,+1;,296,390
null,716,8122,+1;,294,390
null,716,8124,+1;,295,390
null,717,8123,+1;,295,390
null,717,8122,+1;,296,390
null,717,8124,+1;,289,390
null,718,8123,+1;,291,390
null,718,8122,+1;,296,390
null,718,8124,+1;,295,390
null,719,8123,+1;,298,390
null,719,8122,+1;,293,390
null,719,8124,+1;,298,390
null,720,8123,+1;,298,390
null,720,8122,+1;,298,390
null,720,8124,+1;,295,390
null,721,8123,+1;,300,390
null,721,8122,+1;,302,390
null,721,8124,+1;,294,390
null,722,8123,+1;,295,390
null,722,8122,+1;,302,390
null,722,8124,+1;,294,390
null,723,8123,+1;,301,390
null,723,8122,+1;,302,390
null,723,8124,+1;,303,390
null,724,8123,+1;,300,390
null,724,8122,+1;,298,390
null,724,8124,+1;,298,390
null,725,8123,+1;,303,390
null,725,8122,+1;,303,390
null,725,8124,+1;,306,390
null,726,8123,+1;,310,390
null,726,8122,+1;,307,390
null,726,8124,+1;,314,390
null,727,8123,+1;,308,390
null,727,8122,+1;,304,390
null,727,8124,+1;,311,390
null,728,8123,+1;,308,390
null,728,8122,+1;,305,390
null,728,8124,+1;,306,390
null,729,8123,+1;,310,390
null,729,8122,+1;,312,390
null,729,8124,+1;,308,390
null,730,8123,+1;,304,390
null,730,8122,+1;,306,390
null,730,8124,+1;,308,390
null,731,8123,+1;,303,390
null,731,8122,+1;,299,390
null,731,8124,+1;,308,390
null,732,8123,+1;,311,390
null,732,8122,+1;,306,390
null,732,8124,+1;,310,390
null,733,8123,+1;,305,390
null,733,8122,+1;,306,390
null,733,8124,+1;,300,390
null,734,8123,+1;,299,390
null,734,8122,+1;,305,390
null,734,8124,+1;,302,390
null,735,8123,+1;,297,390
null,735,8122,+1;,295,390
null,735,8124,+1;,294,390
null,736,8123,+1;,295,390
null,736,8122,+1;,297,390
null,736,8124,+1;,298,390
null,737,8123,+1;,299,390
null,737,8122,+1;,296,390
null,737,8124,+1;,298,390
null,738,8123,+1;,296,390
null,738,8122,+1;,297,390
null,738,8124,+1;,304,390
null,739,8123,+1;,304,390
null,739,8122,+1;,296,390
null,739,8124,+1;,300,390
null,740,8123,+1;,303,390
null,740,8122,+1;,307,390
null,740,8124,+1;,301,390
null,741,8123,+1;,307,390
null,741,8122,+1;,308,390
null,741,8124,+1;,309,390
null,742,8123,+1;,310,390
null,742,8122,+1;,309,390
null,742,8124,+1;,313,390
null,743,8123,+1;,312,390
null,743,8122,+1;,308,390
null,743,8124,+1;,317,390
null,744,8123,+1;,324,390
null,744,8122,+1;,319,390
null,744,8124,+1;,318,390
null,745,8123,+1;,312,390
null,745,8122,+1;,319,390
null,745,8124,+1;,312,390
null,746,8123,+1;,309,390
null,746,8122,+1;,311,390
null,746,8124,+1;,313,390
null,747,8123,+1;,310,390
null,747,8122,+1;,307,390
null,747,8124,+1;,306,390
null,748,8123,+1;,301,390
null,748,8122,+1;,308,390
null,748,8124,+1;,303,390
null,749,8123,+1;,301,390
null,749,8122,+1;,298,390
null,749,8124,+1;,301,390
null,750,8123,+1;,304,390
null,750,8122,+1;,303,390
null,750,8124,+1;,304,390
null,751,8123,+1;,306,390
null,751,8122,+1;,306,390
null,751,8124,+1;,309,390
null,752,8123,+1;,306,390
null,752,8122,+1;,303,390
null,752,8124,+1;,311,390
null,753,8123,+1;,309,390
null,753,8122,+1;,304,390
null,753,8124,+1;,308,390
null,754,8123,+1;,306,390
null,754,8122,+1;,306,390
null,754,8124,+1;,307,390
null,755,8123,+1;,309,390
null,755,8122,+1;,308,390
null,755,8124,+1;,311,390
null,756,8123,+1;,314,390
null,756,8122,+1;,310,390
null,756,8124,+1;,310,390
null,757,8123,+1;,315,390
null,757,8122,+1;,319,390
null,757,8124,+1;,316,390
null,758,8123,+1;,313,390
null,758,8122,+1;,313,390
null,758,8124,+1;,313,390
null,759,8123,+1;,311,390
null,759,8122,+1;,312,390
null,759,8124,+1;,306,390
null,760,8123,+1;,300,390
null,760,8122,+1;,306,390
null,760,8124,+1;,302,390
null,761,8123,+1;,301,390
null,761,8122,+1;,299,390
null,761,8124,+1;,304,390
null,762,8123,+1;,303,390
null,762,8122,+1;,299,390
null,762,8124,+1;,301,390
null,763,8123,+1;,301,390
null,763,8122,+1;,302,390
null,763,8124,+1;,300,390
null,764,8123,+1;,306,390
null,764,8122,+1;,307,390
null,764,8124,+1;,304,390
null,765,8123,+1;,305,390
null,765,8122,+1;,307,390
null,765,8124,+1;,308,390
null,766,8123,+1;,309,390
null,766,8122,+1;,306,390
null,766,8124,+1;,309,390
null,767,8123,+1;,307,390
null,767,8122,+1;,309,390
null,767,8124,+1;,307,390
null,768,8123,+1;,305,390
null,768,8122,+1;,305,390
null,768,8124,+1;,302,390
null,769,8123,+1;,296,390
null,769,8122,+1;,301,390
null,769,8124,+1;,296,390
null,770,8123,+1;,300,390
null,770,8122,+1;,300,390
null,770,8124,+1;,303,390
null,771,8123,+1;,301,390
null,771,8122,+1;,298,390
null,771,8124,+1;,297,390
null,772,8123,+1;,302,390
null,772,8122,+1;,305,390
null,772,8124,+1;,299,390
null,773,8123,+1;,296,390
null,773,8122,+1;,300,390
null,773,8124,+1;,300,390
null,774,8123,+1;,299,390
null,774,8122,+1;,295,390
null,774,8124,+1;,300,390
null,775,8123,+1;,306,390
null,775,8122,+1;,303,390
null,775,8124,+1;,308,390
null,776,8123,+1;,310,390
null,776,8122,+1;,309,390
null,776,8124,+1;,311,390
null,777,8123,+1;,304,390
null,777,8122,+1;,303,390
null,777,8124,+1;,309,390
null,778,8123,+1;,308,390
null,778,8122,+1;,303,390
null,778,8124,+1;,310,390
null,779,8123,+1;,308,390
null,779,8122,+1;,307,390
null,779,8124,+1;,305,390
null,780,8123,+1;,306,390
null,780,8122,+1;,309,390
null,780,8124,+1;,300,390
null,781,8123,+1;,302,390
null,781,8122,+1;,308,390
null,781,8124,+1;,301,390
null,782,8123,+1;,303,390
null,782,8122,+1;,303,390
null,782,8124,+1;,310,390
null,783,8123,+1;,309,390
null,783,8122,+1;,302,390
null,783,8124,+1;,308,390
null,784,8123,+1;,308,390
null,784,8122,+1;,309,390
null,784,8124,+1;,307,390
null,785,8123,+1;,306,390
null,785,8122,+1;,308,390
null,785,8124,+1;,306,390
null,786,8123,+1;,306,390
null,786,8122,+1;,306,390
null,786,8124,+1;,306,390
null,787,8123,+1;,305,390
null,787,8122,+1;,305,390
null,787,8124,+1;,305,390
null,788,8123,+1;,306,390
null,788,8122,+1;,307,390
null,788,8124,+1;,306,390
null,789,8123,+1;,308,390
null,789,8122,+1;,308,390
null,789,8124,+1;,309,390
null,790,8123,+1;,303,390
null,790,8122,+1;,303,390
null,790,8124,+1;,306,390
null,791,8123,+1;,308,390
null,791,8122,+1;,305,390
null,791,8124,+1;,309,390
null,792,8123,+1;,307,390
null,792,8122,+1;,308,390
null,792,8124,+1;,310,390
null,793,8123,+1;,312,390
null,793,8122,+1;,310,390
null,793,8124,+1;,310,390
null,794,8123,+1;,313,390
null,794,8122,+1;,314,390
null,794,8124,+1;,312,390
null,795,8123,+1;,312,390
null,795,8122,+1;,311,390
null,795,8124,+1;,311,390
null,796,8123,+1;,312,390
null,796,8122,+1;,313,390
null,796,8124,+1;,310,390
null,797,8123,+1;,311,390
null,797,8122,+1;,313,390
null,797,8124,+1;,313,390
null,798,8123,+1;,316,390
null,798,8122,+1;,314,390
null,798,8124,+1;,318,390
null,799,8123,+1;,323,390
null,799,8122,+1;,321,390
null,799,8124,+1;,322,390
null,800,8123,+1;,326,390
null,800,8122,+1;,327,390
null,800,8124,+1;,326,390
null,801,8123,+1;,323,390
null,801,8122,+1;,319,390
null,801,8124,+1;,318,390
null,802,8123,+1;,319,390
null,802,8122,+1;,324,390
null,802,8124,+1;,320,390
null,803,8123,+1;,324,390
null,803,8122,+1;,323,390
null,803,8124,+1;,323,390
null,804,8123,+1;,323,390
null,804,8122,+1;,323,390
null,804,8124,+1;,324,390
null,805,8123,+1;,319,390
null,805,8122,+1;,317,390
null,805,8124,+1;,316,390
null,806,8123,+1;,321,390
null,806,8122,+1;,324,390
null,806,8124,+1;,320,390
null,807,8123,+1;,319,390
null,807,8122,+1;,319,390
null,807,8124,+1;,323,390
null,808,8123,+1;,324,390
null,808,8122,+1;,320,390
null,808,8124,+1;,323,390
null,809,8123,+1;,323,390
null,809,8122,+1;,324,390
null,809,8124,+1;,327,390
null,810,8123,+1;,330,390
null,810,8122,+1;,326,390
null,810,8124,+1;,327,390
null,811,8123,+1;,325,390
null,811,8122,+1;,330,390
null,811,8124,+1;,323,390
null,812,8123,+1;,323,390
null,812,8122,+1;,325,390
null,812,8124,+1;,322,390
null,813,8123,+1;,324,390
null,813,8122,+1;,325,390
null,813,8124,+1;,322,390
null,814,8123,+1;,319,390
null,814,8122,+1;,321,390
null,814,8124,+1;,321,390
null,815,8123,+1;,317,390
null,815,8122,+1;,317,390
null,815,8124,+1;,320,390
null,816,8123,+1;,326,390
null,816,8122,+1;,323,390
null,816,8124,+1;,326,390
null,817,8123,+1;,323,390
null,817,8122,+1;,323,390
null,817,8124,+1;,323,390
null,818,8123,+1;,325,390
null,818,8122,+1;,326,390
null,818,8124,+1;,326,390
null,819,8123,+1;,327,390
null,819,8122,+1;,326,390
null,819,8124,+1;,331,390
null,820,8123,+1;,334,390
null,820,8122,+1;,330,390
null,820,8124,+1;,332,390
null,821,8123,+1;,336,390
null,821,8122,+1;,338,390
null,821,8124,+1;,337,390
null,822,8123,+1;,333,390
null,822,8122,+1;,333,390
null,822,8124,+1;,335,390
null,823,8123,+1;,340,390
null,823,8122,+1;,338,390
null,823,8124,+1;,341,390
null,824,8123,+1;,339,390
null,824,8122,+1;,338,390
null,824,8124,+1;,339,390
null,825,8123,+1;,338,390
null,825,8122,+1;,338,390
null,825,8124,+1;,343,390
null,826,8123,+1;,345,390
null,826,8122,+1;,340,390
null,826,8124,+1;,344,390
null,827,8123,+1;,340,390
null,827,8122,+1;,341,390
null,827,8124,+1;,339,390
null,828,8123,+1;,340,390
null,828,8122,+1;,340,390
null,828,8124,+1;,344,390
null,829,8123,+1;,339,390
null,829,8122,+1;,335,390
null,829,8124,+1;,334,390
null,830,8123,+1;,339,390
null,830,8122,+1;,344,390
null,830,8124,+1;,337,390
null,831,8123,+1;,337,390
null,831,8122,+1;,339,390
null,831,8124,+1;,335,390
null,832,8123,+1;,333,390
null,832,8122,+1;,336,390
null,832,8124,+1;,328,390
null,833,8123,+1;,328,390
null,833,8122,+1;,333,390
null,833,8124,+1;,331,390
null,834,8123,+1;,328,390
null,834,8122,+1;,325,390
null,834,8124,+1;,327,390
null,835,8123,+1;,331,390
null,835,8122,+1;,332,390
null,835,8124,+1;,333,390
null,836,8123,+1;,332,390
null,836,8122,+1;,332,390
null,836,8124,+1;,332,390
null,837,8123,+1;,336,390
null,837,8122,+1;,336,390
null,837,8124,+1;,339,390
null,838,8123,+1;,337,390
null,838,8122,+1;,333,390
null,838,8124,+1;,334,390
null,839,8123,+1;,331,390
null,839,8122,+1;,334,390
null,839,8124,+1;,337,390
null,840,8123,+1;,339,390
null,840,8122,+1;,333,390
null,840,8124,+1;,341,390
null,841,8123,+1;,345,390
null,841,8122,+1;,343,390
null,841,8124,+1;,343,390
null,842,8123,+1;,342,390
null,842,8122,+1;,344,390
null,842,8124,+1;,342,390
null,843,8123,+1;,344,390
null,843,8122,+1;,344,390
null,843,8124,+1;,347,390
null,844,8123,+1;,346,390
null,844,8122,+1;,344,390
null,844,8124,+1;,353,390
null,845,8123,+1;,355,390
null,845,8122,+1;,348,390
null,845,8124,+1;,351,390
null,846,8123,+1;,346,390
null,846,8122,+1;,349,390
null,846,8124,+1;,347,390
null,847,8123,+1;,342,390
null,847,8122,+1;,339,390
null,847,8124,+1;,338,390
null,848,8123,+1;,337,390
null,848,8122,+1;,341,390
null,848,8124,+1;,337,390
null,849,8123,+1;,342,390
null,849,8122,+1;,343,390
null,849,8124,+1;,340,390
null,850,8123,+1;,338,390
null,850,8122,+1;,338,390
null,850,8124,+1;,335,390
null,851,8123,+1;,329,390
null,851,8122,+1;,332,390
null,851,8124,+1;,326,390
null,852,8123,+1;,331,390
null,852,8122,+1;,334,390
null,852,8124,+1;,330,390
null,853,8123,+1;,337,390
null,853,8122,+1;,338,390
null,853,8124,+1;,340,390
null,854,8123,+1;,342,390
null,854,8122,+1;,339,390
null,854,8124,+1;,341,390
null,855,8123,+1;,340,390
null,855,8122,+1;,341,390
null,855,8124,+1;,337,390
null,856,8123,+1;,334,390
null,856,8122,+1;,337,390
null,856,8124,+1;,332,390
null,857,8123,+1;,335,390
null,857,8122,+1;,337,390
null,857,8124,+1;,338,390
null,858,8123,+1;,337,390
null,858,8122,+1;,334,390
null,858,8124,+1;,336,390
null,859,8123,+1;,338,390
null,859,8122,+1;,339,390
null,859,8124,+1;,332,390
null,860,8123,+1;,331,390
null,860,8122,+1;,337,390
null,860,8124,+1;,336,390
null,861,8123,+1;,338,390
null,861,8122,+1;,333,390
null,861,8124,+1;,333,390
null,862,8123,+1;,335,390
null,862,8122,+1;,338,390
null,862,8124,+1;,338,390
null,863,8123,+1;,336,390
null,863,8122,+1;,333,390
null,863,8124,+1;,338,390
null,864,8123,+1;,335,390
